Image,ExG,Vein,Texture,NDVI,PSS,Temp,PSS_z,NDVI_z,Temp_z,FinalScore,Class
19-20_N_FD_black_10_3_A00120200108103224.png,72.5835118454262,0.10455364906952616,130.1290292477041,0.028595166650268518,3.935446350929876,35,1.6327053071124282,-1.5385331343093587,0.9057636644735128,0.7322763943867374,Severe Stress
19-20_N_FD_black_10_3_A00220200108103227.png,74.47213408599548,0.0894189805077096,130.32285892681932,0.030543720012587327,3.2231577404843357,35,1.2447229314310204,-1.4153485284915794,0.9057636644735128,0.6978949919871246,Severe Stress
19-20_N_FD_black_10_3_A00320200108103231.png,74.59101362844298,0.0813714114605292,129.716401957971,0.033662175027899574,3.021175032126738,35,1.1347032990995034,-1.2182045039807101,0.9057636644735128,0.6772349774113368,Severe Stress
19-20_N_FD_black_10_3_A00420200108103237.png,79.7925033684518,0.05027921624628545,129.7251099819808,0.037032573445098464,0.9318738738006793,35,-0.0033354327204802555,-1.005132997446529,0.9057636644735128,0.5863584801562706,Mild Stress
19-20_N_FD_black_10_3_A00520200108103244.png,76.53247337385541,0.08440725105912672,129.86685483438353,0.034072032242558205,2.2832668969244097,35,0.7327660125389932,-1.1922939487936484,0.9057636644735128,0.6484576710802695,Mild Stress
19-20_N_FD_black_10_3_A00620200108103248.png,77.16988927518084,0.09260434001708406,130.09370417360068,0.03451257975458322,2.0878818523338154,35,0.6263401162643644,-1.1644431992774924,0.9057636644735128,0.6394261421300557,Mild Stress
19-20_N_FD_black_10_3_A00720200108103252.png,78.27026839047541,0.07949840438556788,129.72861467964978,0.03668159882084545,1.5518707552572302,35,0.3343757976080697,-1.027321084042834,0.9057636644735128,0.6105655273373078,Mild Stress
19-20_N_FD_black_10_3_A00820200108103256.png,80.08317220177177,0.06581853484864764,129.48106872699324,0.04149937820567573,0.7600347882366236,35,-0.09693588578733504,-0.7227483348874837,0.9057636644735128,0.5610694923607636,Mild Stress
19-20_N_FD_black_10_3_A00920200108103302.png,74.99762533426689,0.0661068135610449,130.3358485950246,0.03216148270246414,3.0080493997957625,35,1.127553789842424,-1.3130760102670669,0.9057636644735128,0.6831352123410571,Severe Stress
19-20_N_FD_black_10_3_A01020200108103306.png,73.56891103190867,0.10973839349914058,130.14908246264417,0.033251081986776905,3.5481146406222734,35,1.4217263935960562,-1.2441931862536273,0.9057636644735128,0.6982883400940476,Severe Stress
19-20_N_FD_black_10_3_A01120200108103311.png,76.94082533409005,0.04668482232882428,129.4431383436973,0.0361880143491864,2.0007941401033946,35,0.5789035898503276,-1.0585247501855675,0.9057636644735128,0.6291113931073598,Mild Stress
19-20_N_FD_black_10_4_A01320200108103330.png,72.66479354251338,0.10517809925769754,129.51016496560857,0.028252778039128575,3.7484361591369826,35,1.5308411786897402,-1.5601784261014087,0.9057636644735128,0.7268808265937282,Severe Stress
19-20_N_FD_black_10_4_A01420200108103336.png,75.69824594196187,0.0714622531295154,129.17717727923466,0.031794797382254804,2.440007731619243,35,0.8181424744385448,-1.3362573033754066,0.9057636644735128,0.6638832067703321,Severe Stress
19-20_N_FD_black_10_4_A01520200108103341.png,76.26316576580426,0.08541884760789874,129.39108253039075,0.03343980154534227,2.272400922938747,35,0.7268473352792055,-1.232262620285285,0.9057636644735128,0.65074789442364,Mild Stress
19-20_N_FD_black_10_4_A01620200108103350.png,75.69547262611307,0.07000493527171411,129.43533739122364,0.030893099060033073,2.5051470247057814,35,0.8536237348592531,-1.3932613118554493,0.9057636644735128,0.6701038222662454,Severe Stress
19-20_N_FD_black_10_4_A01720200108103358.png,78.00934030478018,0.08089001770405178,129.66013782947533,0.037443141079341116,1.6396098416531757,35,0.38216712640486494,-0.9791775306044338,0.9057636644735128,0.6105418364934616,Mild Stress
19-20_N_FD_black_10_4_A01820200108103404.png,77.05040801527036,0.06749964574744105,129.4230522376241,0.03679372559639552,1.9592247293094793,35,0.5562608035991038,-1.0202325983411555,0.9057636644735128,0.6250128720708147,Mild Stress
